OperationStep,Man.Item.No,Description,Qty
OP0460,C10512366,NW16 BLANKING FLANGE SS 316L,6
OP0460,C33255000,SPEEDVALVE SP16K VITON LIGHT,6
OP0460,C10512501,NW10/16 CLAMPING RING S/S,12
OP0460,C10512490,NW10/16 TRAPPED O RING,12
OP0470,NXP364765,PIPE CLAMP RUBBER LINE 32-39MM,12
OP0470,NRE164687,M10 PIPE CLAMP STUD 70MM,12
OP0470,218181411,SCR HX SS M8*20,12
OP0470,218981310,WSHR NORM M8 SS,12
OP0470,218981311,WSHR NORMAL SS M10,24
OP0470,218983511,WSHR S-COIL M10 SS,12
OP0470,218960911,NUT FULL M10 SS,12
OP0470,218983510,WSHR S-COIL M8 SS,12
OP0490,H05350069,3-8 BSP SS QUICK CONNECT-PLUG,6
OP0490,H05350068,3-8 BSP SS QUICK CONNECT-SOCT,6
OP0490,IE0123267,END USER PM MODULE WATER ASSY,3
OP0500,H05350069,3-8 BSP SS QUICK CONNECT-PLUG,6
OP0500,H05350068,3-8 BSP SS QUICK CONNECT-SOCT,6
OP0500,IE0123029,PM MODULE WATER ASSY,3
OP0510,B22426768,PIPE CLAMP 19MM PP,12
OP0510,218231375,SCR CAP HD M6*40 SS,24
OP0530,NKB869705,ISO100 BGV LOTO VALVE 24VAC/DC,2
OP0530,B27158171,ISO100 TRAPPED O RING SEAL VIT,2
OP0530,218181414,M8*35 SCR HX HD SS,8
OP0530,218981310,WSHR NORM M8 SS,16
OP0530,218981510,WSHR S COIL M8 SS,16
OP0530,218615119,SCR HX HD M8*30 SS,8
OP0540,IE0113035,COMMON SPOOL ISO 100,2
OP0540,B27158171,ISO100 TRAPPED O RING SEAL VIT,2
OP0540,218981310,WSHR NORM M8 SS,16
OP0540,218981510,WSHR S COIL M8 SS,16
OP0540,218615119,SCR HX HD M8*30 SS,16
OP0550,NKB869705,ISO100 BGV LOTO VALVE 24VAC/DC,2
OP0550,B27158171,ISO100 TRAPPED O RING SEAL VIT,2
OP0550,218181414,M8*35 SCR HX HD SS,8
OP0550,218981310,WSHR NORM M8 SS,16
OP0550,218981510,WSHR S COIL M8 SS,16
OP0550,218615119,SCR HX HD M8*30 SS,8
OP0560,B27158171,ISO100 TRAPPED O RING SEAL VIT,2
OP0560,C10007090,CLAW CLAMP ISO63 – ISO100,6
OP0560,IE0113471,ISO 100 BELLOW ASSY,2
OP0570,B27158171,ISO100 TRAPPED O RING SEAL VIT,2
OP0570,IE0113031,90 DEG ELBOW ISO 100,2
OP0570,218981310,WSHR NORM M8 SS,16
OP0570,218981510,WSHR S COIL M8 SS,16
OP0570,218615119,SCR HX HD M8*30 SS,16
OP0580,B27158171,ISO100 TRAPPED O RING SEAL VIT,4
OP0580,C10007090,CLAW CLAMP ISO63 – ISO100,12
OP0580,IE0113471,ISO 100 BELLOW ASSY,2
OP0580,IE0113300,SINGLE EXH 55 DEG ELBOW ISO100,2
OP0590,B27158171,ISO100 TRAPPED O RING SEAL VIT,2
OP0590,C10007090,CLAW CLAMP ISO63 – ISO100,6
OP0590,IE0113299,SINGLE EXH PIPE WELD ISO100,2
OP0590,B27158171,ISO100 TRAPPED O RING SEAL VIT,1
OP0590,C10007049,ISO63 BLANKING FLANGE,1
OP0590,C10007090,CLAW CLAMP ISO63 – ISO100,4
OP0590,B27158170,ISO63 TRAPPED O RING SEAL (V),1
OP0590,C10009049,ISO100 BLANKING FLANGE,1
OP0600,NKB869705,ISO100 BGV LOTO VALVE 24VAC/DC,4
OP0600,B27158171,ISO100 TRAPPED O RING SEAL VIT,4
OP0600,218181414,M8*35 SCR HX HD SS,16
OP0600,218981310,WSHR NORM M8 SS,32
OP0600,218981510,WSHR S COIL M8 SS,32
OP0600,218615119,SCR HX HD M8*30 SS,16
OP0610,IE0113035,COMMON SPOOL ISO 100,4
OP0610,B27158171,ISO100 TRAPPED O RING SEAL VIT,4
OP0610,218981310,WSHR NORM M8 SS,32
OP0610,218981510,WSHR S COIL M8 SS,32
OP0610,218615119,SCR HX HD M8*30 SS,32
OP0620,NKB869705,ISO100 BGV LOTO VALVE 24VAC/DC,4
OP0620,B27158171,ISO100 TRAPPED O RING SEAL VIT,4
OP0620,218181414,M8*35 SCR HX HD SS,16
OP0620,218981310,WSHR NORM M8 SS,32
OP0620,218981510,WSHR S COIL M8 SS,32
OP0620,218615119,SCR HX HD M8*30 SS,16
OP0630,B27158171,ISO100 TRAPPED O RING SEAL VIT,4
OP0630,C10007090,CLAW CLAMP ISO63 – ISO100,12
OP0630,IE0113471,ISO 100 BELLOW ASSY,4
OP0640,B27158171,ISO100 TRAPPED O RING SEAL VIT,4
OP0640,IE0113031,90 DEG ELBOW ISO 100,4
OP0640,218981310,WSHR NORM M8 SS,32
OP0640,218981510,WSHR S COIL M8 SS,32
OP0640,218615119,SCR HX HD M8*30 SS,32
OP0650,B27158171,ISO100 TRAPPED O RING SEAL VIT,8
OP0650,C10007090,CLAW CLAMP ISO63 – ISO100,24
OP0650,IE0113471,ISO 100 BELLOW ASSY,4
OP0650,IE0113030,55 DEG ELBOW ISO100,4
OP0660,IE0113644,SRC DP ISO100 ELBOW,3
OP0660,B27158171,ISO100 TRAPPED O RING SEAL VIT,4
OP0660,C10007090,CLAW CLAMP ISO63 – ISO100,12
OP0660,IE0113036,PIPE WITH WELDED ISO 100,1
OP0680,IE0113144,GUIDE RAIL SUPPORT BRKT ASSY,12
OP0680,IE0113143,EUV GUIDE RAIL SUPPORT BRKT,12
OP0680,218181452,SCREW HX M10*25,48
OP0680,218983511,WSHR S-COIL M10 SS,48
OP0680,218981311,WSHR NORMAL SS M10,48
OP0690,IE0113514,UPR BOOSTER SUPP ASSY LH LONG,6
OP0690,IE0113516,UPR BOOSTER SUPP ASSY RH LONG,6
OP0690,218231412,SCR CAP HD M8*25 SS,36
OP0690,218981310,WSHR NORM M8 SS,36
OP0690,218983510,WSHR S-COIL M8 SS,36
OP0700,IE0114063,PUMP DRIP TRAY ASSY,6
OP0700,IE0114065,WBP DRIP TRAY ASSY,2
OP0710,IE0113174,SEISMIC BRACKET ASSY,12
OP0710,218091454,SCREW M10*35 SOC HD CAP HT GR12.9,24
OP0710,218983511,WSHR S-COIL M10 SS,24
OP0710,218981311,WSHR NORMAL SS M10,24
