OperationStep,Ref.,Man.Item.No,Description,Qty
OP0603,,H02134011,O-RING FKM HP 255.5ID X 4.0SEC,1
OP0603,,A41672022,HV TBP PLATED XD,1
OP0607,,H02134011,O-RING FKM HP 255.5ID X 4.0SEC,1
OP0607,,A30392058,THERMAL SPACER CERAMIC MSB,8
OP0610,0500,A41201143,SPACER COMMON                  100C,2
OP0610,,A41672143,SPACER COMMON 100 CRS,2
OP0620,1090,H02134011,ORING VIT9830 255.5ID X 4.0.         100C,1
OP0620,0070,H02134013,ORING VIT9830 371.5ID X 4.0.         150C,1
OP0630,0540,"A41201027
","HV Headplate SG          100C
",1
OP0630,0540,"A41205027
","HV Headplate.               150C
",1
OP0630,0540,A41672927,HV HEADPLATE-PLATING XD–200HP S XD+,1
OP0640,0090,218092453,SCR CAP HT ENP M10X30LG G12.9. 100C,8
OP0640,0090,218092453,SCR CAP HT ENP M10X30LG G12.9.  150C,12
OP0640,200HP S XD+,218092457,SCR CAP HT ENP M10X50LG G12.9 200HP S XD+,8
OP0640,200HP S XD+,218092457,SCR CAP HT ENP M10X50LG G12.9 200HP S XD+,8
OP0650,0270,H02134023,ORING VIT9830 85.0ID X 3.5SEC    100C,2
OP0650,0650,H02134025,ORING VIT9830 110.0ID X 3.5SEC. 150C,2
OP0650,0850,A24803004,MAGNET - 14MM DIA X 5MM LG.    100C,6
OP0650,0850,A24803004,MAGNET – 14MM DIAX 5 MM LG.   150C,6
OP0660,0320,A41201060,DYNAMIC SEAL ASSY.            100C,0270
OP0660,0610,A41205060,DYNAMIC SEAL ASSY.            150C,0650
OP0660,,,,0850
OP0660,,,,0850
OP0680,0340,H02134004,ORING VIT9830 67.5ID X 2.75SEC.100C,2
OP0680,0630,H02134004,O RING VIT9830 67.5ID X 2.75SEC.150C,2
OP0680,0625,A41200066,SEAL OIL CATCHER.               100/150C,2
OP0710,0620,A41200065,U SECTION THROWER.                   100C,2
OP0710,0620,A41204071,U SECTION THROWER.                   150C,2
OP0720,0325,H02134015,ORING VIT9830  36.6ID X 4.0SEC.100C,2
OP0720,0325,H02134016,ORING VIT9830  45.1ID X 3.0SEC. 150C,2
OP0740,0350,A20403081,S-ROW BALL BRG 85 X 36.5.          100C,2
OP0740,0640,A20403083,S-ROW BALL BRG 110 X 45 X 19.   150C,2
OP0760,0670,A41200049,HV THROWER SPACER.        100C,1
OP0760,0670,A41204049,OIL THROWER SPACER.        150C,1
OP0770,0650,218984024,WAVED SPRING 85 OD X 72 ID.     100C,2
OP0770,0650,218984025,WAVED SPRING 110 OD x 100.7ID.150C,2
OP0780,0660,A41201056,BEARING RETAINER PLATE.        100C,1
OP0780,0470,27522-046,M6X16 SOC HD CAP ENP CO.      100C,9
